pause|pause|intransitive verb.noun.verb (usu participle)
reality|re·al·i·ty|noun
future|fu·ture|noun.positive adjective
currently|cur·rent·ly|adverb
exist|ex·ist|intransitive verb.verb (usu participle)
exists|ex·ists|intransitive verb.verb (usu participle).singular verb
permanent|per·ma·nent|positive adjective.noun
temporary|tem·po·rar·y|positive adjective.noun
eternity|e·ter·ni·ty|noun
universe|u·ni·verse|noun
karma|kar·ma|noun
death|death|noun
prophets|proph·ets|noun
diviners|di·vin·ers|noun.plural noun
predict|pre·dict|transitive verb.verb (usu participle)
forecast|fore·cast|verb (usu participle).transitive verb.noun
futurology|fu·tur·ol·o·gy|noun
futures|fu·tures|plural noun
stress|stress|noun.transitive verb.verb (usu participle)
prediction|pre·dic·tion|noun
futurism|fu·tur·ism|noun
speed|speed|noun.verb (usu participle).past tense
music|mu·sic|noun
break|break|verb (usu participle).transitive verb.intransitive verb.noun.interjection
breath|breath|noun
yesterday|yes·ter·day|noun.adverb
yesteryear|yes·ter·year|noun.adverb
watch|watch|verb (usu participle).intransitive verb.transitive verb.noun
water|wa·ter|noun.transitive verb.intransitive verb.verb (usu participle).comparative adjective
clock|clock|noun.transitive verb.verb (usu participle)
week|week|noun.adverb
wristwatch|wrist·watch|noun
tardy|tar·dy|positive adjective
tempo|tem·po|noun
then|then|adverb.noun.positive adjective
time|time|noun.verb (usu participle)
timekeeper|time·keep·er|noun.comparative adjective
timepiece|time·piece|noun
timer|tim·er|noun.comparative adjective
timetable|time·ta·ble|noun
tonight|to·night|noun.adverb
today|to·day|noun.adverb
tomorrow|to·mor·row|noun.adverb
triennium
trimester|tri·mes·ter|noun.comparative adjective
twilight|twi·light|noun.positive adjective
schedule|sched·ule|noun.transitive verb.verb (usu participle)
season|sea·son|noun
second|sec·ond|positive adjective.noun.transitive verb.adverb.verb (usu participle)
semester|se·mes·ter|noun.comparative adjective
semiquaver
shift|shift|verb (usu participle).transitive verb.intransitive verb.noun
someday|some·day|adverb
sometime|some·time|adverb.positive adjective
soon|soon|adverb
stopwatch|stop·watch|noun
sundial|sun·di·al|noun
sunrise|sun·rise|noun.positive adjective
sunset|sun·set|noun.positive adjective
synchronized|syn·chro·niz·ed|verb (usu participle).positive adjective.past tense
meridian|me·rid·i·an|noun
microsecond
midafternoon
midnight|mid·night|noun.adverb
midmorning
millennium|mil·len·ni·um|noun
millisecond|mil·li·sec·ond|noun
minute|min·ute|noun.transitive verb.positive adjective
moment|mo·ment|noun
momentarily|mo·men·tar·i·ly|adverb
month|month|noun
morning|morn·ing|noun.positive adjective.gerund
nanosecond|na·no·sec·ond|noun
night|night|noun
nighttime|night·time|noun.positive adjective
noon|noon|noun
now|now|adverb.conjunction.noun
o'clock
overtime|o·ver·time|noun.adverb.verb (usu participle).transitive verb
past|past|noun
period|pe·ri·od|noun
picosecond|pi·co·sec·ond|noun
premature|prem·a·ture|positive adjective
quarter|quar·ter|noun.transitive verb.intransitive verb.verb (usu participle).comparative adjective
quartz|quartz|noun
evening|eve·ning|noun.gerund
everyday|eve·ry·day|positive adjective
fortnight|fort·night|noun
half-life
hands|hands|plural noun
horology|ho·rol·o·gy|noun
hour|hour|noun
hourglass|hour·glass|noun
jiffy|jif·fy|noun
jubilee|ju·bi·lee|noun
late|late|positive adjective.adverb
later|lat·er|adverb.comparative adjective
leap|leap|verb (usu participle).intransitive verb.transitive verb.noun
afternoon|af·ter·noon|noun.positive adjective
afterwards|af·ter·wards|adverb
alarm|a·larm|transitive verb.noun.verb (usu participle)
am|a·m|noun
PM
annual|an·nu·al|positive adjective.noun
before|be·fore|conjunction.preposition.adverb
belated|be·lat·ed|positive adjective.past tense
bell|bell|noun
biennial|bi·en·ni·al|positive adjective.noun
calendar|cal·en·dar|noun.transitive verb.verb (usu participle)
century|cen·tu·ry|noun
chronological
chronology|chro·nol·o·gy|noun
chronometer|chro·nom·e·ter|noun.comparative adjective
clock|clock|noun.transitive verb.verb (usu participle)
daylight|day·light|noun
daytime|day·time|noun.positive adjective
decade|dec·ade|noun
decennium
delay|de·lay|transitive verb.intransitive verb.noun.verb (usu participle)
delayed|de·lay·ed|positive adjective.past tense
dial|dial|noun.verb (usu participle)
clock|clock|noun.transitive verb.verb (usu participle)
